title,subtitle,release_date,length,keysig,tempo,label,remix,collaboration,link,art
HEROIC ADVENT,Similar Outskirts Remix,2018-5-19,237,G / Em,182,Independent,true,false,https://soundcloud.com/similar-outskirts-extra/heroic-advent-remix,https://i1.sndcdn.com/artworks-000478271904-2j4eds-original.jpg
Chaos,,2018-6-8,256,B / G#m,150,Independent,false,false,https://similaroutskirts.fanlink.tv/chaos,https://f4.bcbits.com/img/a2801167212_10.jpg
Xana,,2018-7-27,247,G# / Fm,150,Rushdown,false,false,https://fanlink.tv/SOHorologyEP,https://i1.sndcdn.com/artworks-000380151171-3tuzlp-original.jpg
Horology,,2018-8-3,280,A# / Gm,150,Rushdown,false,false,https://fanlink.tv/SOHorologyEP,https://i1.sndcdn.com/artworks-000383639997-6696qo-original.jpg
Time Leap,,2018-8-3,294,A / F#m,150,Rushdown,false,false,https://fanlink.tv/SOHorologyEP,https://i1.sndcdn.com/artworks-000383639997-6696qo-original.jpg
Hourglass,,2018-8-3,319,"C / Am, D / Bm",150,Rushdown,false,false,https://fanlink.tv/SOHorologyEP,https://i1.sndcdn.com/artworks-000383639997-6696qo-original.jpg
Cosmonaut,,2018-9-29,227,E / C#m,175,Independent,false,false,https://similaroutskirts.fanlink.tv/cosmonaut,https://f4.bcbits.com/img/a1787021285_10.jpg
Get High,Similar Outskirts Remix,2018-10-26,242,A / F#m,150,Independent,true,false,https://similaroutskirts.fanlink.tv/get-high-remix,https://i1.sndcdn.com/artworks-000428915211-8uhojv-original.jpg
Whirlwind,Similar Outskirts Remix,2019-2-1,201,G# / Fm,174,Rushdown,true,false,https://fanlink.tv/WRmxsSimilarOutskirts,https://i1.sndcdn.com/artworks-000481813899-zzqpur-original.jpg
Hey-Day Capriccio,Similar Outskirts Remix,2019-3-5,249,"A# / Gm, F / Dm",150,Independent,true,false,https://soundcloud.com/similar-outskirts-extra/hey-day-capriccio-remix,https://i1.sndcdn.com/artworks-000499165281-b3te9p-original.jpg
All Might,Similar Outskirts Remix,2019-3-18,266,A / F#m,150,Independent,true,false,https://fanlink.tv/dandereremixes,https://i1.sndcdn.com/artworks-000505933815-p39pqa-original.jpg
Eternal,Similar Outskirts Remix,2019-7-5,306,D / Bm,110,Independent,true,false,https://distrokid.com/hyperfollow/fokushi/eternal-remixed,https://i1.sndcdn.com/artworks-000562037337-mrsvh8-original.jpg
Abyss Dweller,,2019-8-30,301,A / F#m,150,Independent,false,false,https://similaroutskirts.fanlink.tv/abyss-dweller,https://f4.bcbits.com/img/a2441563579_10.jpg
Replay Attack,,2019-9-19,252,G# / Fm,150,Rushdown,false,false,https://fanlink.tv/ReplayAttack,https://i1.sndcdn.com/artworks-000600103214-127p9h-original.jpg
About Us,Similar Outskirts Remix,2019-10-11,223,E / C#m,100,Independent,true,false,https://soundcloud.com/disero/au-simout,https://i1.sndcdn.com/artworks-000604999342-wm4czj-original.jpg
Stargazer,,2019-10-18,269,C / Am,128,Independent,false,false,https://similaroutskirts.fanlink.tv/stargazer,https://f4.bcbits.com/img/a4226935958_10.jpg
For Me,Intro,2019-11-22,116,C / Am,77,Independent,false,false,https://similaroutskirts.fanlink.tv/imagination-ep,https://f4.bcbits.com/img/a0353269693_10.jpg
Imagination,,2019-11-22,248,C / Am,174,Independent,false,false,https://similaroutskirts.fanlink.tv/imagination-ep,https://f4.bcbits.com/img/a0353269693_10.jpg
Daydream,,2019-11-22,309,D / Bm,150,Independent,false,false,https://similaroutskirts.fanlink.tv/imagination-ep,https://f4.bcbits.com/img/a0353269693_10.jpg
Adventure,,2019-11-22,288,D / Bm,170,Independent,false,false,https://similaroutskirts.fanlink.tv/imagination-ep,https://f4.bcbits.com/img/a0353269693_10.jpg
Another World,,2019-11-22,287,G / Em,110,Independent,false,false,https://similaroutskirts.fanlink.tv/imagination-ep,https://f4.bcbits.com/img/a0353269693_10.jpg
Crescent,,,,,,Rushdown,false,false,,
Only Now,Similar Outskirts Remix,,,,,Independent,true,false,,
Simulation,,,,,,Independent,false,false,,
Pyre,,,,,,Independent,false,false,,
Fire Bird,Similar Outskirts Remix,,,,,Independent,true,false,,
Eon,,,,,,Independent,false,false,,
If,w/ Winamp Boys,,,,,FORM,false,true,,
Titans,Intro,,,,,Rushdown,false,false,,
Colossal,,,,,,Rushdown,false,false,,
Alloy,,,,,,Rushdown,false,false,,
Cryotherapy,,,,,,Rushdown,false,false,,
Tectonic,,,,,,Rushdown,false,false,,
Magnetic,,,,,,Independent,false,false,,
Shockwave,,,,,,Rushdown,false,false,,
All My Friends,Similar Outskirts Remix,,,,,Independent,true,false,,
Find My Way,,,,,,Independent,false,false,,
Anomaly,Similar Outskirts Remix,,,,,Independent,true,false,,
In The Moment,,,,,,Independent,false,false,,
Unlimited,,,,,,Independent,false,false,,
Hanging By A Thread,Similar Outskirts Remix,,,,,Independent,true,false,,
Mastermind,,,,,,FiXT,false,false,,
Lotus Overture,Similar Outskirts Remix,,,,,Hot Panda Media,true,false,,
We Don't Play,Remix w/ Rushdown,,,,,Disciple,true,true,,
Shade Soul,,,,,,Rushdown,false,false,,
Vessel,,,,,,Rushdown,false,false,,
Good Night,Intro,,,,,Independent,false,false,,
Headspace,,,,,,Independent,false,false,,
Two Sides,,,,,,Independent,false,false,,
Psycho Battle,,,,,,Independent,false,false,,
Forgive Yourself,,,,,,Independent,false,false,,
We,w/ Winamp Boys,,,,,Independent,false,true,,
Hold On,,,,,,Rushdown,false,false,,
Choreography,Chill Mix,,,,,Independent,false,false,,
Headspace,Chill Mix,,,,,Independent,false,false,,
Crescent,Chill Mix,,,,,Independent,false,false,,
Shade Soul,Chill Mix,,,,,Independent,false,false,,
Visionary,Similar Outskirts Remix,,,,,Heaven Sent,true,false,,
Blossom,Similar Outskirts Remix,,,,,Proximity,true,false,,
Taking Control,,,,,,Independent,false,false,,
Crimson,,,,,,Independent,false,false,,
Dreamer,,,,,,FORM,false,false,,
Sky Warrior,,,,,,Independent,false,false,,
Nightmare,,,,,,Independent,false,false,,
Hometown,Intro,,,,,Independent,false,false,,
Runelord,,,,,,Independent,false,false,,
Pictomancer,,,,,,Independent,false,false,,
Cherish,,,,,,Independent,false,false,,
Farewell,Outro,,,,,Independent,false,false,,
R.A.V.E.,Remix,,,,,Independent,true,false,,
Shine,,,,,,Independent,false,false,,
Luster Cries,,,,,,Independent,false,false,,
Genjitsu Mysterium,Similar Outskirts Remix,,,,,Independent,true,false,,
(We Are) Friends,w/ Winamp Boys,,,,,Independent,true,true,,
GUNK,,,,,,Independent,false,false,,
Bling-Bang-Bang-Born,Similar Outskirts Remix,,,,,Independent,true,false,,
All Ur Luv,Similar Outskirts Remix,,,,,Independent,true,false,,
END,,,,,,,,,,
